,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
faanui,pf,12/9/2017,12/9/2017 14:47,80,100,-16.48,-151.75,79.49,13.24
yarmouth,ca,12/9/2017,12/9/2017 14:04,90,93,43.83,-66.12,39.2,4.7
saskylakh,ru,12/9/2017,12/9/2017 14:47,76,65,71.92,114.08,-13.84,5.19
albany,au,12/9/2017,12/9/2017 14:47,20,50,-35.02,117.89,69.95,1.05
severo-kurilsk,ru,12/9/2017,12/9/2017 14:47,64,100,50.68,156.12,32.24,19.95
bestobe,kz,12/9/2017,12/9/2017 14:47,0,77,52.5,73.1,25.4,12.46
paamiut,gl,12/9/2017,12/9/2017 14:47,92,89,61.99,-49.67,34.04,9.89
mosquera,co,12/9/2017,12/9/2017 14:00,40,63,4.71,-74.23,62.6,3.36
cashel,ie,12/9/2017,12/9/2017 14:47,88,86,52.52,-7.89,36.43,4.63
pangnirtung,ca,12/9/2017,12/9/2017 14:47,76,92,66.15,-65.71,18.29,3.4
hilo,us,12/9/2017,12/9/2017 13:56,1,82,19.73,-155.09,60.8,6.93
kishi,ng,12/9/2017,12/9/2017 14:47,56,36,9.08,3.85,84.4,8.1
porto walter,br,12/9/2017,12/9/2017 14:47,0,73,-8.27,-72.74,87.46,2.95
tazmalt,dz,12/9/2017,12/9/2017 14:47,92,100,36.39,4.4,48.44,1.39
mao,td,12/9/2017,12/9/2017 14:47,0,16,14.12,15.31,85.61,7.2
bethel,us,12/9/2017,12/9/2017 14:40,90,92,41.37,-73.41,37.4,6.93
georgetown,sh,12/9/2017,12/9/2017 14:00,75,94,6.8,-58.16,78.8,9.17
luba,gq,12/9/2017,12/9/2017 14:47,68,100,3.46,8.55,78.05,10.89
briceni,md,12/9/2017,12/9/2017 14:47,8,87,48.36,27.7,39.85,10.45
mount isa,au,12/9/2017,12/9/2017 14:00,0,14,-20.73,139.5,87.8,12.75
kupang,id,12/9/2017,12/9/2017 14:00,40,94,-10.17,123.58,77,3.06
antofagasta,cl,12/9/2017,12/9/2017 14:00,20,59,-23.65,-70.4,66.2,11.41
sitka,us,12/9/2017,12/9/2017 13:53,90,62,57.05,-135.33,51.8,18.34
acandi,co,12/9/2017,12/9/2017 14:47,64,100,8.51,-77.28,77.96,2.39
vostok,ru,12/9/2017,12/9/2017 14:47,12,31,46.49,135.88,-22.48,1.95
khandbari,np,12/9/2017,12/9/2017 14:44,0,53,27.37,87.2,33.46,0.72
yulara,au,12/9/2017,12/9/2017 14:00,0,22,-25.24,130.99,75.2,10.29
parkes,au,12/9/2017,12/9/2017 14:47,0,65,-33.13,148.18,57.17,6.08
coquimbo,cl,12/9/2017,12/9/2017 14:00,90,82,-29.95,-71.34,60.8,6.93
araouane,ml,12/9/2017,12/9/2017 14:47,0,26,18.9,-3.53,78.23,14.36
podhum,ba,12/9/2017,12/9/2017 14:30,40,91,43.72,17,44.6,12.75
victoria,sc,12/9/2017,12/9/2017 14:00,75,83,-4.62,55.45,80.6,4.7
baruun-urt,mn,12/9/2017,12/9/2017 14:47,32,45,46.68,113.28,8.53,14.03
cherskiy,ru,12/9/2017,12/9/2017 14:47,36,67,68.75,161.3,-8.89,1.72
kaeo,nz,12/9/2017,12/9/2017 14:47,68,82,-35.1,173.78,60.95,4.29
mwanza,mw,12/9/2017,12/9/2017 14:00,75,69,-15.6,34.52,78.8,4.7
hofn,is,12/9/2017,12/9/2017 14:47,0,100,64.25,-15.21,31.3,19.06
chuy,uy,12/9/2017,12/9/2017 14:47,8,99,-33.7,-53.46,75.85,6.76
viedma,ar,12/9/2017,12/9/2017 14:47,8,42,-40.81,-63,70.36,17.72
kampene,cd,12/9/2017,12/9/2017 14:47,92,75,-3.6,26.67,76.52,2.39
nanakuli,us,12/9/2017,12/9/2017 13:57,1,100,21.39,-158.15,69.8,3.4
ferme-neuve,ca,12/9/2017,12/9/2017 14:47,88,71,46.7,-75.45,17.53,3.51
acarau,br,12/9/2017,12/9/2017 14:47,88,61,-2.89,-40.12,86.96,11.68
bluff,nz,12/9/2017,12/9/2017 14:47,80,96,-46.6,168.33,61.18,27.89
port alfred,za,12/9/2017,12/9/2017 14:43,88,82,-33.59,26.89,66.89,19.39
clyde river,ca,12/9/2017,12/9/2017 14:32,90,92,70.47,-68.59,12.2,12.75
fairbanks,us,12/9/2017,12/9/2017 14:24,90,100,64.84,-147.72,21.2,3.18
luwuk,id,12/9/2017,12/9/2017 14:47,92,100,-0.95,122.79,78.28,1.16
banswara,in,12/9/2017,12/9/2017 14:47,32,64,23.55,74.45,70.67,4.52
kavieng,pg,12/9/2017,12/9/2017 14:47,92,100,-2.57,150.8,80.53,1.5
matara,lk,12/9/2017,12/9/2017 14:47,24,98,5.95,80.54,78.14,3.96
ibra,om,12/9/2017,12/9/2017 14:47,68,89,22.69,58.53,60.23,2.62
college,us,12/9/2017,12/9/2017 14:24,90,100,64.86,-147.8,21.2,3.18
kieta,pg,12/9/2017,12/9/2017 14:47,92,100,-6.22,155.63,75.89,2.39
keti bandar,pk,12/9/2017,12/9/2017 14:47,44,87,24.14,67.45,75.26,14.81
ostrovnoy,ru,12/9/2017,12/9/2017 14:47,80,93,68.05,39.51,13.07,11.45
nizhneudinsk,ru,12/9/2017,12/9/2017 14:47,56,82,54.91,99.03,12.76,3.4
ixtapa,mx,12/9/2017,12/9/2017 13:47,40,42,20.7,-105.2,68,13.87
cabedelo,br,12/9/2017,12/9/2017 14:00,75,55,-6.98,-34.83,87.8,13.87
kandrian,pg,12/9/2017,12/9/2017 14:47,100,99,-6.22,149.55,76.21,3.18
severomuysk,ru,12/9/2017,12/9/2017 14:47,24,26,56.15,113.43,-21.4,1.95
